date,character_class,world_name,dojang_best_floor,date_dojang_record,dojang_best_time,nickname
,배틀메이지,크로아,94,2025-06-14T00:00+09:00,889,밴딩모멘트
,"아크메이지(불,독)",크로아,83,2024-06-17T00:00+09:00,891,독스
,데몬어벤져,루나,90,2024-12-08T00:00+09:00,896,언남
,"아크메이지(썬,콜)",루나,86,2025-04-22T00:00+09:00,881,겨울새
,섀도어,제니스,90,2025-03-23T00:00+09:00,873,명장포마
,소울마스터,스카니아,84,2025-04-02T00:00+09:00,883,쏘마호마
,패스파인더,스카니아,56,2023-01-15T00:00+09:00,844,날먹캐릭터1
,카인,크로아,90,2025-06-15T00:00+09:00,887,키프로사
,비숍,루나,71,2024-02-12T00:00+09:00,886,선우뚜뚜
,팬텀,스카니아,89,2025-01-12T00:00+09:00,886,바울
,"아크메이지(불,독)",크로아,94,2025-06-15T00:00+09:00,884,이낑
,데몬어벤져,엘리시움,87,2024-06-18T00:00+09:00,868,드러
,키네시스,베라,81,2023-09-26T00:00+09:00,887,번더스내치
,나이트워커,루나,78,2025-01-18T00:00+09:00,880,귀마
,나이트워커,베라,84,2025-04-12T00:00+09:00,851,직접
,비숍,스카니아,83,2023-09-24T00:00+09:00,886,쪼릉
,윈드브레이커,크로아,80,2023-08-18T00:00+09:00,898,인울
,나이트로드,루나,56,,831,암적
,나이트로드,크로아,91,2025-07-15T00:00+09:00,888,혀띵
,보우마스터,스카니아,91,2025-04-20T00:00+09:00,898,활쟁
,은월,엘리시움,93,2025-05-08T00:00+09:00,879,드좌
,나이트워커,스카니아,31,2025-02-12T00:00+09:00,170,쿠션
,나이트로드,엘리시움,95,2025-04-14T00:00+09:00,878,사교육
,은월,엘리시움,83,2024-11-11T00:00+09:00,881,CuisineDeYun
,히어로,스카니아,31,2024-04-24T00:00+09:00,155,치빵파티
,미하일,크로아,93,2025-03-09T00:00+09:00,883,샌드백
,"아크메이지(썬,콜)",스카니아,77,2023-08-04T00:00+09:00,885,찌스
,키네시스,엘리시움,74,2022-09-02T00:00+09:00,857,종우
,나이트워커,스카니아,53,2024-01-13T00:00+09:00,879,플래
,다크나이트,루나,89,2025-03-31T00:00+09:00,888,음난
,소울마스터,엘리시움,0,,0,숲속소마
,"아크메이지(썬,콜)",스카니아,92,2025-04-20T00:00+09:00,893,솔로만즐김
,패스파인더,스카니아,80,2024-08-07T00:00+09:00,876,릴프
,패스파인더,루나,60,2023-05-30T00:00+09:00,881,경북
,나이트로드,크로아,86,2025-05-04T00:00+09:00,873,형택
,메르세데스,루나,84,2024-03-19T00:00+09:00,880,플란
,다크나이트,루나,89,2024-02-25T00:00+09:00,874,단정
,듀얼블레이더,루나,87,2025-02-01T00:00+09:00,877,에츠셔터
,카인,스카니아,82,2025-05-19T00:00+09:00,895,피룽
,듀얼블레이더,스카니아,75,2024-02-18T00:00+09:00,882,려릿
,와일드헌터,엘리시움,69,2022-05-31T00:00+09:00,845,포그레
,패스파인더,스카니아,75,2023-02-17T00:00+09:00,896,연마
,"아크메이지(불,독)",오로라,92,2025-03-28T00:00+09:00,896,공썩
,아델,크로아,85,2024-03-08T00:00+09:00,894,구축
,라라,오로라,76,2023-12-24T00:00+09:00,899,단랑
,데몬어벤져,루나,75,2023-03-02T00:00+09:00,872,타이
,나이트로드,엘리시움,64,2022-08-07T00:00+09:00,892,가이샤
,제로,베라,82,2024-01-21T00:00+09:00,898,마커스
,듀얼블레이더,크로아,84,2024-10-02T00:00+09:00,858,피노밍
,듀얼블레이더,스카니아,49,,382,광도도
,팬텀,엘리시움,74,2025-04-03T00:00+09:00,563,대선이
,다크나이트,베라,90,2024-07-23T00:00+09:00,863,Special
,바이퍼,스카니아,85,2025-02-02T00:00+09:00,887,구고길
,소울마스터,베라,85,2024-05-19T00:00+09:00,896,1991
,비숍,베라,0,,0,해린
,윈드브레이커,엘리시움,95,2025-04-23T00:00+09:00,872,일짱
,"아크메이지(불,독)",엘리시움,0,,0,봐료
,캐논마스터,크로아,93,2025-07-09T00:00+09:00,783,큐링
,소울마스터,오로라,67,2024-04-30T00:00+09:00,782,신본
,비숍,크로아,88,2025-04-23T00:00+09:00,892,아라슬
