user_name,solo_rank_match_tier,solo_rank_match_score,party_rank_match_tier,party_rank_match_score,ouid
야누스,UNRANK,1500.0,SILVER II,1517.0,123d200947d6d2f5bd5619f4a4bbec68
대화마을,SILVER III,1745.0,UNRANK,1550.0,1b0c58caa535ce8c3478d1163f624cd7
최은영,MASTER I,2523.0,MASTER III,2802.0,ae2b0a6d046e21bc22e91816ef5e44ca
메이비,GOLD I,1904.0,UNRANK,1600.0,d6cece07c765e0242e9cadccbb84c6f3
천재,UNRANK,2450.0,UNRANK,2450.0,69c6272c668d9161e20b246a17c53863
미교,MASTER III,2825.0,MASTER II,2673.0,8970504ec5284edfe946feb968f236de
지존,UNRANK,2350.0,UNRANK,2350.0,b3ce20e4e1b749d2ea7b9c5bd8ea6d3a
lullaby~♥,MASTER II,2759.0,GRAND MASTER III,3469.0,1d8ba77e386d4d1f490834345f368143
메티,UNRANK,1400.0,UNRANK,1400.0,ea36a0969328927ce4e7ded3976d1fac
거친,MASTER III,2999.0,MASTER III,2999.0,ab6b970c0d8478a70c80a944de5e33d4
IIlIllIlIIlI,UNRANK,1400.0,SILVER II,1590.0,28ecd94b3460d7b3fe9f9d05e5710427
근우,GOLD I,1873.0,UNRANK,1550.0,9f1e4ee0b7189cbf26f61d406a4384f9
73,GOLD II,2150.0,GOLD III,2320.0,0d6653ed2159cb510c14af9c4141ec5b
┕┑,GOLD I,1964.0,SILVER III,1767.0,ca9f424f0d15f5cacdfe92ae739ea3fa
갓돌쇠,UNRANK,1400.0,SILVER III,1692.0,fc44cb28f2fed2c506495ee7d12712aa
욤,GOLD II,2018.0,MASTER I,2532.0,847c6e4a25a0ae9da06542b8b34e01d4
♡반샷,UNRANK,2121.0,UNRANK,2250.0,8e1780ebc367c8305e7c667bb7af65a2
IIlllIIIIl,UNRANK,2000.0,UNRANK,2000.0,282635d7a7febf09f6c6b75d2b4e53cf
myway,LEGEND,3713.0,GRAND MASTER I,3084.0,fbe05878f8cab4157b041b81814c73fd
고도리1번,SILVER III,1799.0,SILVER III,1639.0,4b1e12a61248eea9ea7f78f71da6b86b
가짤루에영??,SILVER III,1798.0,GOLD I,1896.0,20e33b6b3e0e957df549b3dd6ebf689d
zetty,LEGEND,3671.0,GRAND MASTER I,3122.0,9a8e0f12855b23c60c1ebe54564e226b
럿츠,SILVER III,1775.0,UNRANK,1500.0,1ebc186e9f889fa3974a406aa09fc829
혈라,SILVER III,1799.0,UNRANK,1750.0,73fda248ff16eede5471edd2d0cc9359
레니,UNRANK,2500.0,MASTER II,2684.0,ccd01264eed929b82d4003fcdce85736
루치,GRAND MASTER I,3055.0,GRAND MASTER II,3267.0,fc68a32950692ff790bd92cb066a64f0
LarK,LEGEND,3672.0,GRAND MASTER I,3017.0,502b6e40e6cef4db201a588c20f73977
김택진,UNRANK,1600.0,UNRANK,1600.0,805397ecbb640a9e4188a9baf1b2eeb6
좋아,UNRANK,2350.0,GRAND MASTER II,3250.0,54426b475bfc0c84eba9e490bd0ecae6
로번,UNRANK,2000.0,GOLD II,2111.0,28881b22e56d1ebbf792d94f5fab6ed2
현도,SILVER III,1775.0,GOLD III,2346.0,b50e93b420473990d23459de55b61203
예슬,GOLD I,1975.0,GOLD III,2368.0,0f9cfab8569741459e9c2a440df4a74e
ㄷㄷ,UNRANK,2350.0,UNRANK,2350.0,829b554a9d54873ddd2c8d14efe96680
살짝흐림,MASTER I,2400.0,UNRANK,2400.0,c66ffea284872e0abf389280359bc617
웅3잉,MASTER III,2934.0,MASTER I,2589.0,f790fef8b19ccf53a5b32fafb52ff105
