recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,ouid
45.0,56.0,56.333332,57.333332,50.333332,45b1a2043c7c65ed1e199fd1ddb185ba
100.0,74.5,28.571428,81.0,53.846153,2761c3d84c872da16a42327ef1f77afa
50.0,58.0,61.333332,69.666664,58.333332,f63e0a98179008ae19faab242211fa02
40.0,58.666664,56.333332,63.666668,49.0,a985f820f03659e122385ff11646af73
100.0,72.166672,75.0,93.0,91.0,018eec186511a63ea86738c7799252e0
80.0,68.666664,0.0,86.666664,49.666668,06ac78845d5e6fe1df8cfd564e6c1234
96.666664,59.666668,51.333332,67.666664,66.0,d8073e6267b2c16c9a9997e546d9b201
81.666664,54.666668,56.333332,60.666668,58.666668,f83605e5fb8eafbf8257291088840791
60.000004,56.92308,60.952385,66.666664,0.0,67e18db111ba767dba205c9e0f508bac
51.666668,60.333332,59.0,81.333336,65.333336,e6ac81dd9c38524bb494689d315e9fd9
53.333336,58.166664,52.666664,69.666664,54.0,46a6b7706dddde2fd761220d91daccdc
98.333336,61.333336,52.333332,72.666664,60.0,f33ac3bc20179d08fd3320f33ebfe242
60.000004,55.166668,54.666668,69.666664,52.0,e017c1019117b828bcbea77f55f506c7
46.666668,51.0,53.333336,60.666668,51.333332,30a3ec8484ddb8426f5a0d1d7cf86584
100.0,56.333332,54.333336,0.0,51.0,2733455b1b1c04a6614483e86404d594
93.333336,58.833332,52.0,68.0,60.173161,2e7780aea1fd653770023cc67cb946cf
95.0,56.666668,55.666668,65.0,58.823528,2ce42ac3d20ab0bcb21b72ff6675ecba
10.0,46.833332,40.333332,54.333332,47.747749,a8f3e2f4ad589abf83ac9febe5a36453
95.0,64.0,66.0,75.0,65.333336,26c6ef281b80c34f703a378b34568d80
100.0,76.0,75.333336,86.333336,70.666664,16650f3a8db2d4f4f06f38fb97b67247
41.463413,56.611568,0.0,66.451614,66.666664,5f5eef029527bcd41e71832d0ef7f570
60.000004,61.0,55.666668,75.666664,52.666668,123d200947d6d2f5bd5619f4a4bbec68
78.333336,54.333336,48.333332,67.333336,56.333332,1b0c58caa535ce8c3478d1163f624cd7
50.0,49.166668,48.333332,59.333332,44.333332,ae2b0a6d046e21bc22e91816ef5e44ca
50.0,58.0,60.666668,67.685593,60.204082,d6cece07c765e0242e9cadccbb84c6f3
55.0,60.666668,55.0,74.0,57.333332,69c6272c668d9161e20b246a17c53863
48.333332,55.0,55.333336,64.0,55.333332,8970504ec5284edfe946feb968f236de
100.0,80.666664,73.0,85.666664,71.0,b3ce20e4e1b749d2ea7b9c5bd8ea6d3a
78.333336,62.0,63.0,82.333336,65.333336,1d8ba77e386d4d1f490834345f368143
58.333332,50.333332,53.333332,55.633804,51.0,ea36a0969328927ce4e7ded3976d1fac
76.666664,61.333336,62.333332,0.0,67.14286,ab6b970c0d8478a70c80a944de5e33d4
50.0,46.166668,47.666664,54.333332,52.0,28ecd94b3460d7b3fe9f9d05e5710427
100.0,70.0,71.666664,0.0,0.0,9f1e4ee0b7189cbf26f61d406a4384f9
100.0,83.5,84.666672,99.666664,78.0,0d6653ed2159cb510c14af9c4141ec5b
68.333336,55.0,54.000004,65.666664,53.666668,ca9f424f0d15f5cacdfe92ae739ea3fa
48.333332,47.833332,47.413792,50.0,48.666668,fc44cb28f2fed2c506495ee7d12712aa
